ferramenta,tipo_template,recurso,peso
Rancho Los Amigos,escala,guia_bolso,1
Rancho Los Amigos,escala,flashcards,1
Rancho Los Amigos,escala,caso_clinico,2
Rancho Los Amigos,escala,checklist,2
Rancho Los Amigos,escala,slides,1
Rancho Los Amigos,escala,infografico,1
Rancho Los Amigos,escala,biblioteca,2
SBAR Passagem de Plantao,ferramenta,artigo,1
SBAR Passagem de Plantao,ferramenta,guia_bolso,1
SBAR Passagem de Plantao,ferramenta,checklist,2
SBAR Passagem de Plantao,ferramenta,biblioteca,2
Silverman Anderson,ferramenta,artigo,1
Silverman Anderson,ferramenta,guia_bolso,1
Silverman Anderson,ferramenta,checklist,2
Silverman Anderson,ferramenta,biblioteca,2
Simulado Bloco Operat.,simulado,simulado,3
Simulado Bloco Operat.,simulado,quiz,2
Simulado Bloco Operat.,simulado,caso_clinico,2
Simulado Bloco Operat.,simulado,biblioteca,2
Simulado DNC,simulado,simulado,3
Simulado DNC,simulado,quiz,2
Simulado DNC,simulado,caso_clinico,2
Simulado DNC,simulado,biblioteca,2
Simulado Enfermeiros 1,simulado,simulado,3
Simulado Enfermeiros 1,simulado,quiz,2
Simulado Enfermeiros 1,simulado,caso_clinico,2
Simulado Enfermeiros 1,simulado,biblioteca,2
Simulado Enfermeiros 2,simulado,simulado,3
Simulado Enfermeiros 2,simulado,quiz,2
Simulado Enfermeiros 2,simulado,caso_clinico,2
Simulado Enfermeiros 2,simulado,biblioteca,2
Simulado PCR,simulado,simulado,3
Simulado PCR,simulado,quiz,2
Simulado PCR,simulado,caso_clinico,2
Simulado PCR,simulado,biblioteca,2
Simulado Seguranca Paciente,simulado,simulado,3
Simulado Seguranca Paciente,simulado,quiz,2
Simulado Seguranca Paciente,simulado,caso_clinico,2
Simulado Seguranca Paciente,simulado,biblioteca,2
Simulado Tecnicos 1,simulado,simulado,3
Simulado Tecnicos 1,simulado,quiz,2
Simulado Tecnicos 1,simulado,caso_clinico,2
Simulado Tecnicos 1,simulado,biblioteca,2
Simulado Tecnicos 2,simulado,simulado,3
Simulado Tecnicos 2,simulado,quiz,2
Simulado Tecnicos 2,simulado,caso_clinico,2
Simulado Tecnicos 2,simulado,biblioteca,2
Simulado Vacinas,simulado,simulado,3
Simulado Vacinas,simulado,quiz,2
Simulado Vacinas,simulado,caso_clinico,2
Simulado Vacinas,simulado,biblioteca,2
Vacinas da Crianca,ferramenta,artigo,1
