======================================================================
      RELATÓRIO DE LIMPEZA E PADRONIZAÇÃO DE HREFLANG         
======================================================================

Total de arquivos com intervenção: 1512
Total de arquivos já corretos/intactos: 20

Detalhamento por arquivo modificado:
----------------------------------------------------------------------
[PADRONIZADO] it\berg.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\bishop.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\bps.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\braden.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\cam.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\capurro.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\cincinnati.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\cornell.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\cries.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\curb-65.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\downes.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\downton.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\elpo.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\fast.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\flacc.html | pt-br corrigido para pt-BR
[PADRONIZADO] it\four.html | pt-br corrigido para pt-BR
